no,Kalimat Awal,Kalimat Hasil Preproses,Label Awal,Label Exp1,,Label Exp2,,Label Exp3,,Label Exp4,
0,Barakallah.. 👍👍👍,barakallah _tanda_titik_ _emot_pos_ _emot_pos_ _emot_pos_ ,baca,abaikan,false,baca,true,baca,true,abaikan,false
1,Yukk daftar jadi member di www. Vanillahijab. Com,ayo daftar member w _tanda_titik_ vanillahijab _tanda_titik_ com ,baca,abaikan,false,abaikan,false,abaikan,false,jawab,false
2,Alhamdulillah...makasih😙😙😙😙,alhamdulillah _tanda_titik_ terima kasih _emot_pos_ _emot_pos_ _emot_pos_ _emot_pos_ ,baca,baca,true,baca,true,baca,true,baca,true
3,Cranya gmna jdi mmber,cranya gmna mmber ,jawab,abaikan,false,baca,false,baca,false,jawab,true
4,Ini kerdungnya bisa di bikin nutup dada gak yah?apa mang pendek gini modelnya?,kerdungnya menutup dada kecewa _tanda_tanya_ mang pendek modelnya _tanda_tanya_ ,jawab,jawab,true,jawab,true,jawab,true,jawab,true
5,Bantu jawab dong,bantu ,baca,abaikan,false,baca,true,baca,true,baca,true
6,Ini menutup dada dan punggung gak ya?,menutup dada punggung iya _tanda_tanya_ ,jawab,jawab,true,jawab,true,jawab,true,jawab,true
7,Kakak.. @vanillahijab bakal ada haute lg gak??,kakak _tanda_titik_ _mentionpemilik_ ulang _tanda_tanya_ ,jawab,jawab,true,jawab,true,jawab,true,jawab,true
8,Barakallah,barakallah ,baca,abaikan,false,baca,true,baca,true,abaikan,false
9,Barokallah,barakallah ,baca,abaikan,false,baca,true,baca,true,abaikan,false
10,Belom ad harga nya @vanillahijab,harga nya _mentionpemilik_ ,baca,jawab,false,jawab,false,jawab,false,jawab,false
11,@tandriani45 cek @carabelanjavanilla ya mba, _mentionteman_ cek _mentionteman_ iya kakak perempuan ,baca,abaikan,false,abaikan,false,abaikan,false,abaikan,false
12,"@shofuraqnt insyAllah bs kaa, bs nutupin dada nyaa", _mentionteman_ insyaallah kaa menutupi dada nyaa ,baca,jawab,false,abaikan,false,abaikan,false,abaikan,false
13,Kok gak bsa d order,order ,jawab,jawab,true,jawab,true,jawab,true,abaikan,false
14,INI pengiriman Dari daerah mana yah Mba? @vanillahijab,pengiriman daerah kecewa kakak perempuan _tanda_tanya_ _mentionpemilik_ ,jawab,abaikan,false,jawab,true,jawab,true,jawab,true
