no,id,content,main post,poster post,label
1,adorableprojects,"Flatshoes made by trusted local craftsmen! 😘 ㅤㅤㅤㅤㅤㅤ'Scarllet Pink Flatshoes' IDR 157.000Material : Pu LeatherAvailable size 37 s/d 43ㅤㅤㅤㅤㅤㅤAlso available ini black, grey, dan maroon.order? please contact your csr area. Don't worry buy happy 😘",yes,yes,x
2,isharyanti,Ada wrna item g?,no,no,x
3,adorableprojects,"@isharyanti ada kak, untuk size berapa?",no,yes,x
4,isharyanti,38 .. wrna apa aja yg ready u flatshoes ini?,no,no,x
5,ekhafitriani_,yg warna ini ready gak? Size 38/39?,no,no,x
6,balabalaincess,ka ada warna apa aja?,no,no,x
7,slalucom,tas branded original dengan harga di bawah store hanya ada di #slalucom,no,no,x
8,adorableprojects,@isharyanti untuk semua warna size 38 ready kak,no,yes,x
9,adorableprojects,"@balabalaincess pink, black, grey, sama maroon kak",no,yes,x
10,adorableprojects,@ekhafitriani_ saat ini ready size 38/39,no,yes,x
11,niar_mehdi,Pemesanannya bs lewat apa sj kak?,no,no,x
12,adorableprojects,@niar_mehdi sistem order di kita bisa via whatsapp/bbm/line atau langsung via website kak,no,yes,x
13,n_yunita94,Kak mau no wa cs ciputat tangsel,no,no,x
14,adorableprojects,"Hi @n_yunita94 Kamu bs hubungi Angga, Customer Service Area Tangerang Selatan • SMS/WA : 089621218267 • BB Pin : D4071F2E • LINE : adorableprojects010",no,yes,x
15,adirrarhy,kak minta cs yg daerah jakbar dong,no,no,x
16,adorableprojects,"Hi @adirrarhy Kamu bs hubungi Ace, Customer Service Area Jakarta Barat • SMS/WA: 083820678137 • BB Pin : D4863AD8 • LINE : adorableprojects001",no,yes,x
17,nitajuniartii,Cs Kota Tangerang  apa ka? @adorableprojects,no,no,x
18,annisashabrina09,Untuk tangerang selatan ka @adorableprojects,no,no,x
