id,content,main post,label
vanillahijab,"BATAS TRANSFER & KONFIRMASI PEMBAYARAN sampai besok pagi yaahTiap orang beda tergantung jam ordernya, pokoknya setelah berhasil order CEK EMAIL masing masing yaajangan lupa setelah berhasil order konfirmasi via website#vanillaitugampangBuat yg baru gabung di Vanilla, silahkan jd member dulu yuk di www.vanillahijab.comCaranya klik tombol ""DAFTAR"" di pojok kanan atas website!",yes,x
nha_rosidah21,Barakallah.. 👍👍👍,no,baca
nha_rosidah21,Yukk daftar jadi member di www. Vanillahijab. Com,no,baca
asmara2604,Alhamdulillah...makasih😙😙😙😙,no,baca
tandriani45,Cranya gmna jdi mmber,no,jawab
ita_aflaha,Ini kerdungnya bisa di bikin nutup dada gak yah?apa mang pendek gini modelnya?,no,jawab
ita_aflaha,Bantu jawab dong,no,baca
shofuraqnt,Ini menutup dada dan punggung gak ya?,no,jawab
amaliaafasyaa,Kakak.. @vanillahijab bakal ada haute lg gak??,no,jawab
nha_rosidah21,Barakallah,no,baca
cintabaju,Barokallah,no,baca
lusi_septianii,Belom ad harga nya @vanillahijab,no,baca
avalovable,@tandriani45 cek @carabelanjavanilla ya mba,no,baca
kumalahijabstore,"@shofuraqnt insyAllah bs kaa, bs nutupin dada nyaa",no,baca
anditaratih,Kok gak bsa d order,no,jawab
wulan_febryana_putri,INI pengiriman Dari daerah mana yah Mba? @vanillahijab,no,jawab
anbi.stuff,Ready to booked bowbow pants warna Machiato size L,no,abaikan
icha_harycha,Kok web nynprnuh terus yaa @vanillahijab,no,jawab
icha_harycha,Web nya penuh terus..,no,baca
disdis30,yahh,no,abaikan
titik.sumaryati,Proses checkoit gagal terus ulang lagi ulang lagi dari step 1 😂,no,baca
ellaherlina,"Done Kia Instan rouge, biyan and jeans. Bobow pants darkgrey 😁",no,baca
myfabuloushijab,Masih ada kia instan rose & rouge 😊 berminat dm yaa 😊,no,abaikan
nadhira_store2,Alhamdulillah dpt kia instan banyak warna cantik😄,no,baca
na.setya,Cara pesan bagaimana?,no,jawab
cuziiee,Yey kebagian rouge + biyan 😋,no,baca
rullynurlia,"Tulisan d web pas checkout ""sabar ya sis"" sampe 40 menit masih blm berhasil 😂",no,baca
auliaraj,Ready Bowbow pants lips L dan Kia Instan olive,no,abaikan
mi.nang_store,Kia instan banyak warna cek ig kita sis,no,abaikan
hijabcantikos,ready soon lipmatte😊,no,abaikan
hijabcantikos,ready soon lipmatte😊,no,abaikan
shbrn___,"AVAIL kia rose, lipmatte, olive, frozen, jeans. yuk cek ig. bisa free ongkir via shopee",no,abaikan
radendndshop,"KIA Instan Jeans 2pc, Rouge, Rose,  LipMatte only 80rb bisa via shopee.  Minat DM ya.",no,abaikan
harrabee,"Pdhl pgn bobow pants dark grey,tp krna web penuh trz darkgrey nya keburu sold . Tp gpp,yg penting dpt bobow loewy😄 yyyeeeyyyy",no,baca
ririzamalia,"bobow pants loewy, dark grey, silver, machiato size m bisa dm ya",no,abaikan
viaramitha,Semoga ada yg hit n run kia instan teal👻,no,abaikan
hijabchoi,"Loewy n silver size L, kia rose, yang ketinggalan boleh mampir 💃💃💃💃💃",no,abaikan
marvelmomsbabyshop,iya aku uda check out balik lagi ke step 1 syeedihh akhirnya ada 4pcs terkurangi otomatis syediih,no,baca
shelvi_shelvia,Yg pnya bobow pants dark grey dan lips ukuran L sya maauu,no,abaikan
rahmalinahs,Ingin nangis ih,no,baca
rahmalinahs,Ga dapet,no,baca
mi.nang_store,Kia instan cek ig kita sis banyak warna,no,abaikan
indyshoplabel,"Avail Kia instan rouge, campina & olive. Yg minat dm yaa 😉",no,abaikan
asyfahshop,"Ready to booked rose,rouge,lippmatte,frozen,teal, pengiriman jakartatimur,bisa cek langsung IG,thanks😊",no,abaikan
novi_rachmawati,Yang ga kebagian Kia olive bisa DM yes 😊,no,abaikan
noviekurnayanti,"Bantu jawab @na.setyaorder via web mba di www.vanillahijab.com kalau mba belum jadi member silahkan daftar dulu mba. Biasanya sih suka ada hit n run, siapa tau beruntung 😉 happy shopping",no,baca
nurainirhesi,novi_rachmawati .mau kia olive 😂😂,no,abaikan
noviekurnayanti,Kalau kaya gitu di refresh lagi mba takutnya keburu sold out. Kuncinya emang harus di refresh2 terus soalnya traffic di web padet banget mba rullynurlia,no,baca
sepatuanakbranded_keren,Yg punya kia rose n campina blh dm. Yg punya keduanya ya...,no,abaikan
noviekurnayanti,Bantu jawab @tandriani45 silahkan daftar member di web mba di www.vanillahijab.com,no,baca
noviekurnayanti,Bantu jawab @wulan_febryana_putri pengiriman dari jakarta mba. Nanti untuk ongkirnya sudah otomatis di hitung pada saat check out di web mba.,no,baca
maya4323,Cara pesan'y gmn @vanillahijab,no,jawab
bizii_clothing,"KIA rose, biyan, frozen cek ig yaa 😊",no,abaikan
dindavanillahijab,@maya4323 order hanya via website vanillahijab.com/ registrasi dan cek @carabelanjavanilla ya dear.,no,baca
dindavanillahijab,"@tandriani45 @anditaratih order hanya via website saat jam open order, registrasi dulu di vanillahijab.com/ cek @carabelanjavanilla , @wulan_febryana_putri Pengiriman dari Jakarta via Si Cepat.",no,baca
yayukurniaekawati,Baru buka udah sold out kaya tiket kereta api .😪,no,baca
maya4323,OK..nanti kalau minat lgsg order..makasih ya😊,no,baca
wiwikayranajmi14,"Alhamdulillah,  order @vanillahijab itu gampang bgt , semoga makin sukses :)",no,baca
dsyaira,"Jilbab Kia nya sudah sold out semua, ready stok kapan ka",no,jawab
lalanovia,Aku kehabisan huft,no,baca
wulan_febryana_putri,Kalau kode unik yg muncul di total pembayaran itu APA yah? Jadi menambah total biaya @vanillahijab @dindavanillahijab,no,jawab
astri_notastronot,restock dong,no,baca
aiu_devitasari,Restock....restock...restock...restock....amiin..,no,baca
