id,content,main post,label
vanillahijab,"batas transfer konfirmasi pembayaran sampai besok pagi yaahtiap orang beda tergantung jam ordernya pokoknya setelah berhasil order cek email masing masing yaajangan lupa setelah berhasil order konfirmasi via website _hashtag_ silakan jadi member dulu ayo di w _tandatitik_ vanillahijab _tandatitik_ comcaranya klik tombol "" daftar "" di pojok kanan atas website _tandaseru_",yes,x
nha_rosidah21,barakallah _tandatitik_ _emotpos_ _emotpos_ _emotpos_,no,baca
nha_rosidah21,ayo daftar jadi member di w _tandatitik_ vanillahijab _tandatitik_ com,no,baca
asmara2604,alhamdulillah _tandatitik_ terima kasih _emotpos_ _emotpos_ _emotpos_ _emotpos_,no,baca
tandriani45,cranya gmna jadi mmber,no,jawab
ita_aflaha,ini kerdungnya bisa di buat menutup dada tidak kecewa _tandatanya_ apa mang pendek seperti ini modelnya _tandatanya_,no,jawab
ita_aflaha,bantu jawab dong,no,baca
shofuraqnt,ini menutup dada dan punggung tidak iya _tandatanya_,no,jawab
amaliaafasyaa,kakak _tandatitik_ _mentionpemilik_ bakal ada hari ulang tahun lagi tidak _tandatanya_,no,jawab
nha_rosidah21,barakallah,no,baca
cintabaju,barakallah,no,baca
lusi_septianii,belum ada harga nya _mentionpemilik_,no,baca
avalovable, _mentionteman_ cek _mentionteman_ iya kakak perempuan,no,baca
kumalahijabstore, _mentionteman_ insyaallah bisa kaa bisa menutupi dada nyaa,no,baca
anditaratih,kok tidak bisa di order,no,jawab
wulan_febryana_putri,ini pengiriman dari daerah mana kecewa kakak perempuan _tandatanya_ _mentionpemilik_,no,jawab
anbi.stuff,siap to dipesan bowbow pants warna machiato ukuran l,no,abaikan
icha_harycha,kok web nynprnuh terus iya _mentionpemilik_,no,jawab
icha_harycha,web nya penuh terus _tandatitik_,no,baca
disdis30,yahh,no,abaikan
titik.sumaryati,proses checkoit gagal terus ulang lagi ulang lagi dari step _angka_ _emotpos_,no,baca
ellaherlina,done kia instan rouge biyan and jeans _tandatitik_ bobow pants darkgrey _emotpos_,no,baca
myfabuloushijab,masih ada kia instan rose rouge _emotpos_ berminat dm iya _emotpos_,no,abaikan
nadhira_store2,alhamdulillah dapat kia instan banyak warna cantik _emotpos_,no,baca
na.setya,cara pesan bagaimana _tandatanya_,no,jawab
cuziiee,yey kebagian rouge + biyan _emotpos_,no,baca
rullynurlia,"tulisan di web pas checkout "" sabar iya kakak perempuan "" sampai _angka_ menit masih belum berhasil _emotpos_",no,baca
