no;id;content;main post;poster post
1;vanillahijab;"BATAS TRANSFER & KONFIRMASI PEMBAYARAN sampai besok pagi yaahTiap orang beda tergantung jam ordernya, pokoknya setelah berhasil order CEK EMAIL masing masing yaajangan lupa setelah berhasil order konfirmasi via website#vanillaitugampangBuat yg baru gabung di Vanilla, silahkan jd member dulu yuk di www.vanillahijab.comCaranya klik tombol ""DAFTAR"" di pojok kanan atas website!";yes;yes
2;nha_rosidah21;Barakallah.. 👍👍👍;no;no
3;nha_rosidah21;Yukk daftar jadi member di www. Vanillahijab. Com;no;no
4;asmara2604;Alhamdulillah...makasih😙😙😙😙;no;no
5;tandriani45;Cranya gmna jdi mmber;no;no
6;ita_aflaha;Ini kerdungnya bisa di bikin nutup dada gak yah?apa mang pendek gini modelnya?;no;no
7;ita_aflaha;Bantu jawab dong;no;no
8;shofuraqnt;Ini menutup dada dan punggung gak ya?;no;no
9;amaliaafasyaa;Kakak.. @vanillahijab bakal ada haute lg gak??;no;no
10;nha_rosidah21;Barakallah;no;no
11;cintabaju;Barokallah;no;no
12;lusi_septianii;Belom ad harga nya @vanillahijab;no;no
13;avalovable;@tandriani45 cek @carabelanjavanilla ya mba;no;no
14;kumalahijabstore;@shofuraqnt insyAllah bs kaa, bs nutupin dada nyaa;no;no
15;anditaratih;Kok gak bsa d order;no;no
16;wulan_febryana_putri;INI pengiriman Dari daerah mana yah Mba? @vanillahijab;no;no
17;anbi.stuff;Ready to booked bowbow pants warna Machiato size L;no;no
18;icha_harycha;Kok web nynprnuh terus yaa @vanillahijab;no;no
19;icha_harycha;Web nya penuh terus..;no;no
20;disdis30;yahh;no;no
21;titik.sumaryati;Proses checkoit gagal terus ulang lagi ulang lagi dari step 1 😂;no;no
22;ellaherlina;Done Kia Instan rouge, biyan and jeans. Bobow pants darkgrey 😁;no;no
23;myfabuloushijab;Masih ada kia instan rose & rouge 😊 berminat dm yaa 😊;no;no
24;nadhira_store2;Alhamdulillah dpt kia instan banyak warna cantik😄;no;no
25;na.setya;Cara pesan bagaimana?;no;no
26;cuziiee;Yey kebagian rouge + biyan 😋;no;no
