no,word
0,baca
1,baca
2,baca
3,jawab
4,jawab
5,baca
6,jawab
7,jawab
8,baca
9,baca
10,baca
11,baca
12,baca
13,baca
14,jawab
15,abaikan
16,baca
17,baca
18,baca
19,jawab
20,abaikan
21,abaikan
22,baca
23,jawab
24,baca
25,baca
26,abaikan
27,baca
28,abaikan
29,abaikan
30,abaikan
31,abaikan
32,baca
33,abaikan
34,abaikan
35,abaikan
36,abaikan
37,abaikan
38,baca
39,baca
40,baca
41,abaikan
42,abaikan
43,baca
44,abaikan
45,baca
46,abaikan
47,abaikan
48,jawab
49,abaikan
50,jawab
51,baca
52,baca
53,abaikan
54,baca
55,jawab
56,baca
57,baca
58,baca
59,abaikan
60,baca
61,baca
62,baca
63,abaikan
64,abaikan
65,abaikan
66,baca
67,jawab
68,abaikan
69,abaikan
70,abaikan
71,abaikan
72,abaikan
73,abaikan
74,abaikan
75,baca
76,baca
77,abaikan
78,baca
79,abaikan
80,baca
81,abaikan
82,abaikan
83,abaikan
84,abaikan
85,abaikan
86,abaikan
87,abaikan
88,abaikan
89,abaikan
90,abaikan
91,abaikan
92,baca
93,baca
94,jawab
95,baca
96,baca
97,baca
98,jawab
99,abaikan
100,baca
101,baca
102,abaikan
103,baca
104,abaikan
105,abaikan
106,baca
107,baca
108,baca
109,jawab
110,abaikan
111,baca
112,baca
113,jawab
114,abaikan
115,baca
116,abaikan
117,jawab
118,baca
119,baca
120,abaikan
121,baca
122,abaikan
123,baca
124,abaikan
125,abaikan
126,jawab
127,baca
128,abaikan
129,abaikan
130,abaikan
131,jawab
132,baca
133,baca
134,abaikan
135,abaikan
136,baca
137,abaikan
138,abaikan
139,abaikan
140,jawab
141,jawab
142,abaikan
143,baca
144,baca
145,jawab
146,baca
147,baca
148,baca
149,baca
150,baca
151,abaikan
152,baca
153,baca
154,baca
155,baca
156,baca
157,baca
158,jawab
159,abaikan
160,jawab
161,abaikan
162,baca
163,baca
164,baca
165,jawab
166,baca
167,baca
168,abaikan
169,baca
170,baca
171,baca
172,abaikan
173,abaikan
174,baca
175,abaikan
176,baca
177,baca
178,baca
179,jawab
180,abaikan
181,jawab
182,jawab
183,jawab
184,baca
185,abaikan
186,jawab
187,baca
188,baca
189,jawab
190,baca
191,baca
192,baca
193,jawab
194,jawab
195,abaikan
196,abaikan
197,abaikan
198,jawab
199,abaikan
200,baca
201,jawab
202,baca
203,baca
204,baca
205,jawab
206,baca
207,abaikan
208,abaikan
209,baca
210,abaikan
211,baca
212,abaikan
213,abaikan
214,abaikan
215,abaikan
216,abaikan
217,baca
218,abaikan
219,abaikan
220,abaikan
221,jawab
222,jawab
223,abaikan
224,baca
225,jawab
226,abaikan
227,baca
228,baca
229,baca
230,baca
231,abaikan
232,jawab
233,abaikan
234,abaikan
235,abaikan
236,baca
237,baca
238,baca
239,baca
240,baca
241,baca
242,baca
243,abaikan
244,abaikan
245,abaikan
246,jawab
247,baca
248,abaikan
249,abaikan
250,abaikan
251,baca
252,abaikan
253,baca
254,baca
255,baca
256,jawab
257,abaikan
258,abaikan
259,abaikan
260,jawab
261,abaikan
262,jawab
263,baca
264,abaikan
265,abaikan
266,baca
267,baca
268,jawab
269,baca
270,baca
271,baca
272,jawab
273,baca
274,baca
275,baca
276,abaikan
277,baca
278,baca
279,baca
280,jawab
281,baca
282,abaikan
283,abaikan
284,jawab
285,baca
286,baca
287,baca
288,abaikan
289,baca
290,abaikan
291,baca
292,abaikan
293,baca
294,abaikan
295,abaikan
296,baca
297,abaikan
298,baca
299,abaikan
300,abaikan
301,abaikan
302,abaikan
303,abaikan
304,abaikan
305,abaikan
306,baca
307,jawab
308,abaikan
309,baca
310,baca
311,abaikan
312,jawab
313,baca
314,abaikan
315,abaikan
316,abaikan
317,baca
318,jawab
319,jawab
320,abaikan
321,baca
322,baca
323,abaikan
324,jawab
325,abaikan
326,baca
327,abaikan
328,baca
329,baca
330,abaikan
331,baca
332,abaikan
333,baca
334,jawab
335,baca
336,baca
337,jawab
338,abaikan
339,abaikan
340,baca
341,baca
342,abaikan
343,baca
344,abaikan
345,baca
346,abaikan
347,baca
348,baca
349,baca
350,abaikan
351,abaikan
352,baca
353,abaikan
354,baca
355,baca
356,baca
357,baca
358,abaikan
359,abaikan
360,abaikan
361,baca
362,baca
363,abaikan
364,abaikan
365,abaikan
366,abaikan
367,abaikan
368,abaikan
369,abaikan
370,baca
371,abaikan
372,abaikan
373,abaikan
374,jawab
375,abaikan
376,abaikan
377,abaikan
378,baca
379,baca
380,baca
381,abaikan
382,abaikan
383,abaikan
384,abaikan
385,baca
386,baca
387,baca
388,abaikan
389,baca
390,baca
391,baca
392,baca
393,baca
394,jawab
395,baca
396,baca
397,abaikan
398,abaikan
399,abaikan
400,baca
401,abaikan
402,abaikan
403,baca
404,abaikan
405,abaikan
406,baca
407,jawab
408,abaikan
409,abaikan
410,baca
411,abaikan
412,abaikan
413,abaikan
414,baca
415,abaikan
416,abaikan
417,baca
418,abaikan
419,baca
420,abaikan
421,abaikan
422,abaikan
423,abaikan
424,abaikan
425,abaikan
426,abaikan
427,abaikan
428,abaikan
429,jawab
430,abaikan
431,abaikan
432,baca
433,abaikan
434,jawab
435,baca
436,abaikan
437,jawab
438,abaikan
439,abaikan
440,abaikan
441,baca
442,abaikan
443,baca
444,baca
445,abaikan
446,baca
447,baca
448,abaikan
449,baca
450,baca
451,baca
452,baca
453,baca
454,baca
455,abaikan
456,abaikan
457,abaikan
458,abaikan
459,abaikan
460,abaikan
461,baca
462,abaikan
463,baca
464,abaikan
465,abaikan
466,abaikan
467,abaikan
468,baca
469,baca
470,abaikan
471,abaikan
472,baca
473,abaikan
474,baca
475,baca
476,baca
477,abaikan
478,baca
479,abaikan
480,baca
481,baca
482,baca
483,baca
484,baca
485,abaikan
486,abaikan
487,baca
488,abaikan
489,abaikan
490,abaikan
491,abaikan
492,abaikan
493,abaikan
494,abaikan
495,baca
496,abaikan
497,baca
498,baca
499,baca
500,baca
501,baca
502,baca
503,baca
504,abaikan
505,abaikan
506,abaikan
507,baca
508,jawab
509,jawab
510,abaikan
511,abaikan
512,abaikan
513,abaikan
514,baca
515,baca
516,baca
517,baca
518,jawab
519,baca
520,abaikan
521,abaikan
522,baca
523,abaikan
524,baca
525,abaikan
526,baca
527,baca
528,baca
529,abaikan
530,baca
531,abaikan
532,abaikan
533,baca
534,baca
535,abaikan
536,baca
537,baca
538,baca
539,baca
540,baca
541,baca
542,baca
543,baca
544,baca
545,baca
546,baca
547,baca
548,baca
549,jawab
550,baca
551,abaikan
552,baca
553,baca
554,baca
555,abaikan
556,baca
557,abaikan
558,abaikan
559,baca
560,jawab
561,baca
562,baca
563,baca
564,baca
565,baca
566,baca
567,baca
568,baca
569,abaikan
570,abaikan
571,abaikan
572,baca
573,baca
574,jawab
575,baca
576,baca
577,abaikan
578,baca
579,baca
580,abaikan
581,baca
582,baca
583,abaikan
584,abaikan
585,baca
586,baca
587,abaikan
588,baca
589,baca
590,abaikan
591,baca
592,jawab
593,abaikan
594,abaikan
595,jawab
596,baca
597,baca
598,baca
599,jawab
600,baca
601,baca
602,baca
603,baca
604,abaikan
605,abaikan
606,baca
607,abaikan
608,baca
609,abaikan
610,baca
611,baca
612,abaikan
613,abaikan
614,baca
615,baca
616,baca
617,baca
618,abaikan
619,baca
620,abaikan
621,baca
622,baca
623,baca
624,abaikan
625,abaikan
626,baca
627,abaikan
628,baca
629,baca
630,abaikan
631,baca
632,abaikan
633,baca
634,baca
635,jawab
636,baca
637,abaikan
638,abaikan
639,baca
640,abaikan
641,baca
642,abaikan
643,baca
644,baca
645,abaikan
646,baca
647,baca
648,abaikan
649,baca
650,baca
651,abaikan
652,baca
653,abaikan
654,abaikan
655,baca
656,abaikan
657,baca
658,baca
659,baca
660,abaikan
661,abaikan
662,abaikan
663,baca
664,abaikan
665,baca
666,abaikan
667,baca
668,baca
669,abaikan
670,baca
671,baca
672,abaikan
673,abaikan
674,abaikan
675,abaikan
676,abaikan
677,jawab
678,jawab
679,baca
680,baca
681,baca
682,abaikan
683,abaikan
684,baca
685,baca
686,baca
687,baca
688,baca
689,baca
690,baca
691,abaikan
692,abaikan
693,abaikan
694,abaikan
695,jawab
696,baca
697,baca
698,baca
699,baca
700,baca
701,baca
702,baca
703,abaikan
704,baca
705,abaikan
706,baca
707,abaikan
708,abaikan
709,abaikan
710,abaikan
711,baca
712,abaikan
713,abaikan
714,abaikan
715,abaikan
716,baca
717,baca
718,abaikan
719,baca
720,baca
721,abaikan
722,baca
723,baca
724,baca
725,baca
726,baca
727,abaikan
728,abaikan
729,abaikan
730,abaikan
731,baca
732,abaikan
733,baca
734,abaikan
735,abaikan
736,baca
737,baca
738,abaikan
739,baca
740,baca
741,abaikan
742,abaikan
743,abaikan
744,abaikan
745,abaikan
746,abaikan
747,abaikan
748,abaikan
749,baca
750,abaikan
751,baca
752,abaikan
753,abaikan
754,jawab
755,baca
756,abaikan
757,abaikan
758,baca
759,abaikan
760,abaikan
761,baca
762,abaikan
763,abaikan
764,abaikan
765,abaikan
766,abaikan
767,abaikan
768,baca
