no,word
0,baca
1,abaikan
2,baca
3,abaikan
4,jawab
5,abaikan
6,jawab
7,jawab
8,abaikan
9,abaikan
10,jawab
11,abaikan
12,jawab
13,jawab
14,jawab
15,abaikan
16,jawab
17,baca
18,abaikan
19,baca
20,abaikan
21,abaikan
22,baca
23,jawab
24,abaikan
25,jawab
26,abaikan
27,abaikan
28,abaikan
29,abaikan
30,abaikan
31,abaikan
32,baca
33,abaikan
34,abaikan
35,abaikan
36,abaikan
37,abaikan
38,baca
39,baca
40,abaikan
41,abaikan
42,abaikan
43,baca
44,abaikan
45,abaikan
46,baca
47,abaikan
48,abaikan
49,abaikan
50,jawab
51,abaikan
52,abaikan
53,abaikan
54,abaikan
55,abaikan
56,jawab
57,jawab
58,abaikan
59,jawab
60,baca
61,baca
62,baca
63,abaikan
64,abaikan
65,abaikan
66,jawab
67,abaikan
68,abaikan
69,abaikan
70,abaikan
71,abaikan
72,abaikan
73,abaikan
74,abaikan
75,jawab
76,abaikan
77,jawab
78,jawab
79,abaikan
80,abaikan
81,abaikan
82,abaikan
83,abaikan
84,abaikan
85,abaikan
86,abaikan
87,abaikan
88,abaikan
89,abaikan
90,abaikan
91,abaikan
92,jawab
93,abaikan
94,abaikan
95,baca
96,baca
97,abaikan
98,jawab
99,abaikan
100,abaikan
101,abaikan
102,abaikan
103,jawab
104,abaikan
105,abaikan
106,jawab
107,jawab
108,jawab
109,jawab
110,abaikan
111,jawab
112,baca
113,abaikan
114,jawab
115,jawab
116,abaikan
117,jawab
118,jawab
119,baca
120,jawab
121,jawab
122,abaikan
123,jawab
124,abaikan
125,abaikan
126,abaikan
127,jawab
128,abaikan
129,abaikan
130,abaikan
131,jawab
132,abaikan
133,jawab
134,abaikan
135,abaikan
136,abaikan
137,abaikan
138,abaikan
139,abaikan
140,abaikan
141,abaikan
142,jawab
143,jawab
144,abaikan
145,abaikan
146,jawab
147,jawab
148,abaikan
149,baca
150,jawab
151,baca
152,jawab
153,jawab
154,abaikan
155,baca
156,abaikan
157,baca
158,abaikan
159,abaikan
160,baca
161,abaikan
162,baca
163,abaikan
164,baca
165,jawab
166,abaikan
167,baca
168,abaikan
169,abaikan
170,baca
171,baca
172,jawab
173,abaikan
174,jawab
175,abaikan
176,jawab
177,jawab
178,abaikan
179,jawab
180,abaikan
181,abaikan
182,abaikan
183,jawab
184,baca
185,abaikan
186,jawab
187,abaikan
188,baca
189,abaikan
190,abaikan
191,baca
192,abaikan
193,jawab
194,jawab
195,abaikan
196,jawab
197,abaikan
198,abaikan
199,abaikan
200,baca
201,abaikan
202,abaikan
203,abaikan
204,jawab
205,abaikan
206,abaikan
207,abaikan
208,abaikan
209,abaikan
210,abaikan
211,baca
212,abaikan
213,abaikan
214,abaikan
215,abaikan
216,abaikan
217,abaikan
218,abaikan
219,abaikan
220,abaikan
221,jawab
222,baca
223,abaikan
224,abaikan
225,abaikan
226,baca
227,jawab
228,abaikan
229,abaikan
230,jawab
231,abaikan
232,abaikan
233,abaikan
234,abaikan
235,abaikan
236,jawab
237,abaikan
238,abaikan
239,baca
240,abaikan
241,jawab
242,baca
243,abaikan
244,abaikan
245,abaikan
246,jawab
247,baca
248,abaikan
249,abaikan
250,abaikan
251,abaikan
252,abaikan
253,abaikan
254,abaikan
255,baca
256,abaikan
257,abaikan
258,abaikan
259,jawab
260,jawab
261,abaikan
262,baca
263,abaikan
264,abaikan
265,abaikan
266,abaikan
267,abaikan
268,jawab
269,jawab
270,baca
271,abaikan
272,jawab
273,abaikan
274,jawab
275,baca
276,abaikan
277,abaikan
278,jawab
279,baca
280,jawab
281,baca
282,abaikan
283,abaikan
284,abaikan
285,abaikan
286,baca
287,abaikan
288,abaikan
289,abaikan
290,abaikan
291,baca
292,abaikan
293,abaikan
294,abaikan
295,abaikan
296,baca
297,jawab
298,baca
299,abaikan
300,jawab
301,abaikan
302,abaikan
303,abaikan
304,abaikan
305,abaikan
306,abaikan
307,abaikan
308,jawab
309,baca
310,abaikan
311,abaikan
312,jawab
313,jawab
314,abaikan
315,abaikan
316,abaikan
317,jawab
318,baca
319,jawab
320,abaikan
321,baca
322,abaikan
323,abaikan
324,jawab
325,abaikan
326,abaikan
327,abaikan
328,baca
329,abaikan
330,abaikan
331,baca
332,abaikan
333,abaikan
334,abaikan
335,abaikan
336,jawab
337,abaikan
338,jawab
339,abaikan
340,jawab
341,abaikan
342,abaikan
343,jawab
344,abaikan
345,jawab
346,abaikan
347,baca
348,baca
349,abaikan
350,abaikan
351,abaikan
352,jawab
353,baca
354,baca
355,abaikan
356,abaikan
357,abaikan
358,abaikan
359,abaikan
360,abaikan
361,abaikan
362,abaikan
363,abaikan
364,abaikan
365,abaikan
366,abaikan
367,jawab
368,abaikan
369,abaikan
370,abaikan
371,abaikan
372,abaikan
373,abaikan
374,jawab
375,abaikan
376,abaikan
377,abaikan
378,baca
379,jawab
380,jawab
381,abaikan
382,baca
383,baca
384,abaikan
385,baca
386,abaikan
387,baca
388,abaikan
389,abaikan
390,abaikan
391,abaikan
392,baca
393,baca
394,baca
395,abaikan
396,jawab
397,abaikan
398,abaikan
399,abaikan
400,abaikan
401,abaikan
402,abaikan
403,abaikan
404,abaikan
405,abaikan
406,abaikan
407,abaikan
408,abaikan
409,abaikan
410,baca
411,abaikan
412,abaikan
413,baca
414,baca
415,abaikan
416,abaikan
417,abaikan
418,abaikan
