no,word
0,abaikan
1,jawab
2,baca
3,jawab
4,jawab
5,baca
6,jawab
7,jawab
8,abaikan
9,abaikan
10,jawab
11,abaikan
12,abaikan
13,abaikan
14,jawab
15,abaikan
16,jawab
17,jawab
18,baca
19,baca
20,abaikan
21,abaikan
22,abaikan
23,jawab
24,baca
25,baca
26,abaikan
27,abaikan
28,abaikan
29,abaikan
30,abaikan
31,abaikan
32,baca
33,abaikan
34,abaikan
35,abaikan
36,baca
37,abaikan
38,abaikan
39,baca
40,abaikan
41,abaikan
42,baca
43,abaikan
44,baca
45,abaikan
46,abaikan
47,abaikan
48,abaikan
49,abaikan
50,jawab
51,abaikan
52,abaikan
53,abaikan
54,jawab
55,abaikan
56,baca
57,abaikan
58,jawab
59,jawab
60,jawab
61,baca
62,abaikan
63,abaikan
64,abaikan
65,abaikan
66,jawab
67,abaikan
68,abaikan
69,abaikan
70,abaikan
71,abaikan
72,abaikan
73,abaikan
74,abaikan
75,jawab
76,jawab
77,abaikan
78,jawab
79,abaikan
80,baca
81,abaikan
82,abaikan
83,abaikan
84,abaikan
85,abaikan
86,abaikan
87,abaikan
88,abaikan
89,abaikan
90,abaikan
91,abaikan
92,jawab
93,abaikan
94,jawab
95,jawab
96,baca
97,abaikan
98,jawab
99,abaikan
100,abaikan
101,abaikan
102,baca
103,abaikan
104,abaikan
105,abaikan
106,abaikan
107,abaikan
108,abaikan
109,abaikan
110,abaikan
111,jawab
112,baca
113,abaikan
114,abaikan
115,abaikan
116,abaikan
117,jawab
118,jawab
119,baca
120,jawab
121,jawab
122,abaikan
123,jawab
124,abaikan
125,abaikan
126,jawab
127,abaikan
128,abaikan
129,abaikan
130,baca
131,jawab
132,baca
133,abaikan
134,abaikan
135,abaikan
136,abaikan
137,jawab
138,abaikan
139,abaikan
140,abaikan
141,abaikan
142,jawab
143,abaikan
144,abaikan
145,abaikan
146,jawab
147,abaikan
148,jawab
149,baca
150,jawab
151,baca
152,jawab
153,baca
154,baca
155,baca
156,baca
157,jawab
