no,word
0,""""
1,#
2,%
3,&
4,'
5,'s
6,(
7,)
8,*
9,+
10,-
11,/
12,:
13,;
14,<
15,=
16,>
17,\
18,^
19,_
20,__
21,_angka_
22,_emot_netral_
23,_hashtag_
24,_mentionpemilik_
25,_mentionteman_
26,_tanda_seru_
27,_tanda_tanya_
28,_tanda_titik_
29,_url_
30,a
31,a/n
32,aa
33,aamiin
34,abang
35,abisnya
36,abizz
37,abs
38,abstract
39,abstrak
40,acara
41,account
42,adaa
43,adain
44,adakah
45,add
46,adelia
47,adem
48,adha
49,adik
50,adil
51,adistizan
52,admin
53,admind
54,adminnya
55,adopsi
56,adorable
57,aduh
58,aduhh
59,advice
60,advise
61,ae
62,again
63,agenda
64,agung
65,ah
66,ahahhaha
67,ahh
68,aihh
69,aini
70,air
71,airsoftgun
72,aisyah
73,ajaa
74,ajak
75,aje
76,ajh
77,aji
78,ajja
79,akhirya
80,akhrnya
81,aktifitas
82,akun
83,akunnya
84,akunya
85,akut
86,al
87,alamat
88,alamatnya
89,alas
90,alat
91,aleesha
92,alhamdulilah
93,alhamdulillah
94,alhamdulillahh
95,alhamdullilah
96,alhasil
97,alhmdulillah
98,alika
99,all
100,allah
101,allsize
102,alo
103,alot
104,alpha
105,alus
106,always
107,aman
108,amanah
109,ambil
110,ambon
111,amiin
112,amin
113,ammonya
114,ampe
115,ampun
116,ampyuun
117,an
118,ana
119,anak
120,ancene
121,and
122,andaikan
123,anday
124,ane
125,angkat
126,anjay
127,anjing
128,anjirr
129,anna
130,another
131,anti
132,antri
133,antrian
134,anyar
135,anyong
136,apak
137,apek
138,apel
139,api
140,apik
141,aplikasi
142,apo
143,applause
144,apresiasi
145,april
146,aprilmop
147,are
148,area
149,arep
150,ariana
151,artikel
152,asahan
153,asam
154,asik
155,asli
156,aslinya
157,asrama
158,assalammualaikum
159,assalamu'alaikum
160,assalamualaikum
161,assalamulaikum
162,asslamualaikum
163,asslmlkum
164,astaga
165,at
166,atak
167,atasannya
168,atasnya
169,atawa
170,atlantis
171,atm
172,aunty
173,authentic
174,avail
175,available
176,availble
177,avatar
178,awesome
179,awet
180,ayo
181,ayomi
182,ayook
183,ayu
184,b
185,baby
186,baca
187,backpack
188,bacpack
189,badai
190,badan
191,bag
192,bagu
193,bagus
194,bagusan
195,baguss
196,bah
197,bahan
198,bahannya
199,bahanya
200,bahaya
201,bahnnya
202,baiknya
203,baju
204,bajunya
205,bajunyaa
206,bakar
207,bakiak
208,balas
209,balasan
210,balck
211,balerina
212,balesan
213,bali
214,balikin
215,balikpapam
216,balikpapan
217,balisong
218,balm
219,balon
220,bandara
221,bandung
222,bang
223,banget
224,bangett
225,bangka
226,bangtan
227,bangun
228,banjarmasin
229,banten
230,bantu
231,bantuannya
232,bantuanya
233,bar
234,baracas
235,barakallah
236,barang
237,barangkali
238,barangku
