no,word
0,barakallah.. \u0001f44d\u0001f44d\u0001f44d
1,yukk daftar jadi member di www. vanillahijab. com
2,alhamdulillah...makasih\u0001f619\u0001f619\u0001f619\u0001f619
3,cranya gmna jdi mmber
4,ini kerdungnya bisa di bikin nutup dada gak yah?apa mang pendek gini modelnya?
5,bantu jawab dong
6,ini menutup dada dan punggung gak ya?
7,kakak.. @vanillahijab bakal ada haute lg gak??
8,barakallah
9,barokallah
10,belom ad harga nya @vanillahijab
11,@tandriani45 cek @carabelanjavanilla ya mba
12,"@shofuraqnt insyallah bs kaa, bs nutupin dada nyaa"
13,kok gak bsa d order
14,ini pengiriman dari daerah mana yah mba? @vanillahijab
15,ready to booked bowbow pants warna machiato size l
16,kok web nynprnuh terus yaa @vanillahijab
17,web nya penuh terus..
18,yahh
19,proses checkoit gagal terus ulang lagi ulang lagi dari step 1 \u0001f602
20,"done kia instan rouge, biyan and jeans. bobow pants darkgrey \u0001f601"
21,masih ada kia instan rose & rouge \u0001f60a berminat dm yaa \u0001f60a
22,alhamdulillah dpt kia instan banyak warna cantik\u0001f604
23,cara pesan bagaimana?
24,yey kebagian rouge + biyan \u0001f60b
25,"tulisan d web pas checkout ""sabar ya sis"" sampe 40 menit masih blm berhasil \u0001f602"
26,ready bowbow pants lips l dan kia instan olive
27,kia instan banyak warna cek ig kita sis
28,ready soon lipmatte\u0001f60a
29,ready soon lipmatte\u0001f60a
30,"avail kia rose, lipmatte, olive, frozen, jeans. yuk cek ig. bisa free ongkir via shopee"
31,"kia instan jeans 2pc, rouge, rose, lipmatte only 80rb bisa via shopee. minat dm ya."
32,"pdhl pgn bobow pants dark grey,tp krna web penuh trz darkgrey nya keburu sold . tp gpp,yg penting dpt bobow loewy\u0001f604 yyyeeeyyyy"
33,"bobow pants loewy, dark grey, silver, machiato size m bisa dm ya"
34,semoga ada yg hit n run kia instan teal\u0001f47b
35,"loewy n silver size l, kia rose, yang ketinggalan boleh mampir \u0001f483\u0001f483\u0001f483\u0001f483\u0001f483"
36,iya aku uda check out balik lagi ke step 1 syeedihh akhirnya ada 4pcs terkurangi otomatis syediih
37,yg pnya bobow pants dark grey dan lips ukuran l sya maauu
38,ingin nangis ih
39,ga dapet
40,kia instan cek ig kita sis banyak warna
41,"avail kia instan rouge, campina & olive. yg minat dm yaa \u0001f609"
42,"ready to booked rose,rouge,lippmatte,frozen,teal, pengiriman jakartatimur,bisa cek langsung ig,thanks\u0001f60a"
43,yang ga kebagian kia olive bisa dm yes \u0001f60a
44,"bantu jawab @na.setyaorder via web mba di _url_ kalau mba belum jadi member silahkan daftar dulu mba. biasanya sih suka ada hit n run, siapa tau beruntung \u0001f609 happy shopping"
45,novi_rachmawati .mau kia olive \u0001f602\u0001f602
46,kalau kaya gitu di refresh lagi mba takutnya keburu sold out. kuncinya emang harus di refresh2 terus soalnya traffic di web padet banget mba rullynurlia
47,yg punya kia rose n campina blh dm. yg punya keduanya ya...
48,bantu jawab @tandriani45 silahkan daftar member di web mba di _url_ 
49,bantu jawab @wulan_febryana_putri pengiriman dari jakarta mba. nanti untuk ongkirnya sudah otomatis di hitung pada saat check out di web mba.
50,cara pesan'y gmn @vanillahijab
51,"kia rose, biyan, frozen cek ig yaa \u0001f60a"
52,@maya4323 order hanya via website vanillahijab.com/ registrasi dan cek @carabelanjavanilla ya dear.
53,"@tandriani45 @anditaratih order hanya via website saat jam open order, registrasi dulu di vanillahijab.com/ cek @carabelanjavanilla , @wulan_febryana_putri pengiriman dari jakarta via si cepat."
54,baru buka udah sold out kaya tiket kereta api .\u0001f62a
55,ok..nanti kalau minat lgsg order..makasih ya\u0001f60a
56,"alhamdulillah, order @vanillahijab itu gampang bgt , semoga makin sukses :)"
57,"jilbab kia nya sudah sold out semua, ready stok kapan ka"
58,aku kehabisan huft
59,kalau kode unik yg muncul di total pembayaran itu apa yah? jadi menambah total biaya @vanillahijab @dindavanillahijab
60,restock dong
61,restock....restock...restock...restock....amiin..
62,"@wulan_febryana_putri iya dear, untuk memudahkan pengecekannya juga."
63,"kia rose, gading,campina, biyan, rouge yuk cek ig \u0001f61a"
64,"kia instan jeans, teal, lipmate, frozen, rose only 78rb \u0001f618"
65,"kia instan lipmatte, rose, cacaote, campina, jeans, n biyan msh ada di kita, yuk cek ig.. pengiriman dr tangerang.."
66,ada hit run dong... @vanillahijab
67,@eightninehijab brpa mbk
68,"sisa rouge dan lipmatte kirim dari sby, dm yg minat"
69,sis @dindavanillahijab aq lp trf gr2 masak.. hiks. skrg trf msih bs engga ya? mhn bantuanya
70,bobow pantsnyaa & kia instan ready yaah for booked \u0001f607\u0001f607
71,kia instan rouge n olive. bowbow pants navy s n machiato s. minat bsa dm ya freeong via shopee
72,last stock kia lipmate only 73rb \u0001f618
73,"yg masih nyari kia teal, rouge, lipmatte yuks dm sist"
74,"yang minat kia instan olive &rouge, pengiriman jakarta timur,harga 80,bisa cek langsung ig, thanks\u0001f60a"
75,ada warna apa saja?
76,hit n run ada gak ya
77,kapan #vanillapremiumscarf nya ready sistaa?? mauu bangett... @sistervanillahijab @vanillahijab
78,sdh transfer n konfirm dr pagi td k website tp blm dpt email dr @vanillahijab
79,avail kia instan teal campina lipmatte
80,yg msh punya rose dm ya. pengen bnget \u0001f622
81,"kia lipmatte, campina, gading, olive, frozen, cacaote, fuschia, biyan...free ongkir via shopee"
82,avail fushia dan lipmate cek ig kita sis
83,"kia fushia, frozen, gading...yg cari dm ya\u0001f60a thx"
84,haiiiii aku mau jual kia instan campina. salah beliiii.. yg minat dm aja ya ;)
85,ka restok kia instan warna kalem dongg. kya hitam. navy. maroon kaa. @vanillahijab .
86,masih ready gading dn fuschia minat dm ya
87,"masih ready rouge, campina , biyan , cacaote , rose ...cek ig langsung yaa"
88,"yg kehabisan warna jeans , rose ,lipmatte ready di kami ya , kia instant di modifikasi pakai lace,diamond fancy dan 3d flower aplikasi makin keren n elegan lho sista cek di @queenaccessories2"
89,ready warna lipmatte n olive yaaa cek ig
90,avail kia rose n lipmatee
91,msh ready kia instan dan bobow pants m lips freeongkir
92,di web nya blm ada yaa sis? @vanillahijab
93,harga kia instan sis ? @dindavanillahijab
94,@vanillahijab yg uk l utk lingkar pinggul 115 cukup gak mba?
95,harga hijab nya donk
96,\u0001f60d\u0001f60d\u0001f60d
97,@hlnraydev ditungu ya dear.
98,warna lengkapnya belum ada di web ya?
99,@novi_rachmawati @hijabcantikos harga bisa diinfokan saat open order dear.
100,"@sisisyamsiah iya dear, ditungg ya."
101,"detil ukurannya yg l/xl donk mba, sy gak pake line soalnya kl mau tny ke vanilla info"
102,jadi laper mata mah liat warna ny yg kalem \u0001f60d @vanillahijab
103,@sisisyamsiah sdh ada katalog warna ya mba di web
104,"yuk yg mau titip order masih bisaa yaaa.. langsung dm atau line, bisa subsidi ongkir via shopee \u0001f618\u0001f618"
105,info donk yg msh punya mille blouse size s
106,size apa neh sis. ??
107,size apa neh sis. .???
108,ada size xl sis
109,kakak minta info detail s/m dan m/l keterangan brp cm kak lingkar pinggul lingkar paha @vanillaforclothing @vanillahijab
110,halo kak @butik_kadesqons menjual produk gamis dan jilbab dengan kualitas sangat baik insha allah. bisa cek ig yah\u0001f60a
111,@vanillahijab kalo untuk bumil sizenya apa ya?
112,hiks vanilla bikin mupeng terus \u0001f62d
113,"@sitirahma1224 adanya m, mbak"
114,@ilayaomi terakhir saya hamil sampai trimester akhir masih muat s/m. tergantung tinggi & bb
115,gak ada detail utk size nya?
116,"yg takut lupa dan minat titip beli silahkan dm \u0001f609 tq, #testimonichiic"
117,"keranjang belanja tiba2 0,,, pdhl klik pesan sekarang gmn tu??? dan udh g bs order pdhl msh ada stock??? kok bs gt????"
118,kok g berhasil2 order @vanillahijab
119,done.. alhmdulillah dapet yg ini.. \u0001f60a
120,"maaf anda udah mencapai maksimal order hari ini, anda baru bisa order kembali besok,,,, lah keranjang belanja sy aja tiba2 0 gmn ni??? g jd lagi q blnj produk @vanillahijab nya"
121,"@vanillahijab sis kok ud klik masuk keranjang belanja yg di beli celana ter save berang 1 -> pas klik lihat barang lainnya mau beli hijab-> lanjut -> kok jdnya di keranjang belanja celana lgsg di blg ""habis sold out sih sis khan ud di keranjang pesanan k"
122,"yg mau bobow pants dark grey l, bs dm yaa...bs pakai shopee"
123,siisst kok size nya s semua ya? @vanillahijab
124,size yang lainnya sudh sold mba @uneh_gufre tinggal size s
125,"avail bobow pants darkgrey, machiato, loewy & silver. yang minat bisa dm. free ongkir via shopee"
126,done...untuk info pengiriman y gmna ya? @vanillahijab
127,ada restok size lg kira2 kpn ya sist utk bobow pants nya @vanillahijab
128,"avail bobow patns dark grey, machiato, loewy dan silver size m.. bagu yg berminat bisa langsung dm ke ig kami mba say.. free ongkir via shopee \u0001f618\u0001f618\u0001f618"
129,ada yg avail bobow silver size s ga??
130,klo mau jual bobow loewy l.. dm ak yaa..
131,brp sis
132,udah sold out semua di web \u0001f62d
133,yg ukuran s tinggal warna apa ajja? ukuran s nya seberapa yaa mbk? @ririzamalia @vanillahijab
134,kaloo ad yg mo lepas bobowpants silver or darkgrey sise s dm yaa sist.... trimss....
135,"masih ready bowbow pants silver dan navy size s, minat dm ya"
136,@n_iyga cek dm y mbak \u0001f60a
137,avail loewy l navy m darkgrey m
138,"masih ready bowbow pants navy s, minat dm ya say"
139,"yg masih cari bobow pants silver m,turqoaz l. bs dm ya\u0001f609 tq"
140,mau jualan kok akunnya di locked @irenanovi @n.choirina cari yg size l
141,@lucerahma2 via dm yh mbk
142,uk xl siapa yg punya tp lingkar paha brp ya uk xl... pinginnn
143,ada yg mau bowbow size s ga ? d aq ada nih
144,ada yg mau barter bowbow pants grey m ? punya ku size l kebesaran
145,aq punya yg size s turqouz beli kekecilan ternyata ad yg mau barter kah? hrga sm dg vanilla @ildarizkyani @rahmawatus.ayu
146,blm sampai sis kia instannya @vanillahijab uda g sbar bgt
147,semarang belum nyampe sampai skrg...\u0001f630\u0001f630\u0001f630
148,madiun jga blum sampai
149,sdh sampeee... cantiiik bgt
150,blm smpai jg\u0001f62d padahal di jakarta @vanillahijab
151,udah sampeee. cantik bangeeett
152,surabaya blm sampe jg
153,"surabaya blm sampai :"""
154,udah sampe kia instannya kerenn \u0001f618\u0001f618
155,"belum kaa, gak sabar deh pengen pake \u0001f602"
156,belum sistah
157,aku belum dapat no resi nya hiks
158,sicepat minggu libur yaa?
159,lipmate n fusia msh ada yuk cek ig
160,"udah sampe kemarin, nyesel cm beli 2 doang. enak dipakenya. cantik gak bikin keliatan tembem \u2764"
161,siapa yang masih punya stock biyan sist ? dm dong
162,"kia nya blm dtg kak sd skr, tolong cek dm kak @vanillahijab . trmkasih \u0001f60a"
163,\xf0\u0178\u2019\u201c
164,suka banget\u0001f49e
165,yah cuma beli satu buat sendiri\u0001f602
166,semoga berkah ya :)
167,"kia instan udh nyampe, suka,,,, so simple tapi stylish..."
168,"ana basic skirt black , yang minat dm yaa"
169,harus 4 ya sis?hadeeehhh bngung cari temennya \u0001f60c\u0001f60c
170,\u0001f60a\u0001f60a\u0001f60d\u0001f60d\u0001f60d
171,blm nyampe punyaa aku status d web mash processing @vanillahijab si cepat minggu nganter gk yaa
172,aku pesan sala instant kok blm sampe jg yah?
173,kemarin katanya mau didm voucher yg komen cara mudah belanja di website vanilla tp blm ada dmnya sis hikss
174,"udah nyampe kak, nyaman banget, cuma sendiri doang mesennya, jdi ngak bisa ikutan deh \u0001f641 @vanillahijab"
175,sisa kia frozen & fushia..minat dm ya\u0001f609. #testimonichiic
176,belom sampe kianyaa @vanillahijab \u0001f60c
177,"@kaliakyrli podoo kak,,"
178,@annamardalina samaaa \u0001f602
179,harus 4 org ya min? \u0001f602 ajak siapa lagi yaa.. kita cuma berdua @wati_hasugian \u0001f602
180,"yang minat kia instan jeans, campina, lipmatte, rose, biyan, yuk cek ig, bisa via shopee"
181,iyaa nih qta cuma berdua nih @maya_hasegawa ayook ajak sapa yg mau bareng dm pliss \u0001f602
182,yaah dikantor cm 2 orang yg pake hijab
183,tangerang blm sampe.. biasanya senin
184,"aq udah sampe kemaren siang, cepeeeett banget nyampenya.."
