no,word
0,barakallah _tanda_titik_ _emoticon_ _emoticon_ _emoticon_ 
1,yukk daftar member w _tanda_titik_ vanillahijab _tanda_titik_ com 
2,alhamdulillah _tanda_titik_ terima kasih _emoticon_ _emoticon_ _emoticon_ _emoticon_ 
3,cranya gmna mmber 
4,kerdungnya bikin nutup dada yah _tanda_tanya_ mang pendek modelnya _tanda_tanya_ 
5,bantu 
6,menutup dada punggung iya _tanda_tanya_ 
7,kakak _tanda_titik_ _mentionpemilik_ haute _tanda_tanya_ 
8,barakallah 
9,barokallah 
10,harga nya _mentionpemilik_ 
11, _mentionteman_ cek _mentionteman_ iya mbak 
12, _mentionteman_ insyallah kaa menutupi dada nyaa 
13,order 
14,pengiriman daerah yah mbak _tanda_tanya_ _mentionpemilik_ 
15,ready to booked bowbow pants warna machiato size l 
16,web nynprnuh yaa _mentionpemilik_ 
17,web nya penuh _tanda_titik_ 
18,yahh 
19,proses checkoit gagal ulang ulang step 1 _emoticon_ 
20,done kia instan rouge biyan and jeans _tanda_titik_ bobow pants darkgrey _emoticon_ 
21,kia instan rose & rouge _emoticon_ berminat dm yaa _emoticon_ 
22,alhamdulillah kia instan warna cantik _emoticon_ 
23,pesan _tanda_tanya_ 
24,yey kebagian rouge + biyan _emoticon_ 
25,"tulisan web pas checkout "" sabar iya kakak perempuan "" 40 menit berhasil _emoticon_ "
26,ready bowbow pants lips l kia instan olive 
27,kia instan warna cek ig kakak perempuan 
28,ready soon lipmatte _emoticon_ 
29,ready soon lipmatte _emoticon_ 
30,avail kia rose lipmatte olive frozen jeans _tanda_titik_ ayo cek ig _tanda_titik_ free ongkos kirim via shopee 
31,kia instan jeans rpc rouge rose lipmatte only borb via shopee _tanda_titik_ minat dm iya _tanda_titik_ 
32,pgn bobow pants dark grey krna web penuh darkgrey nya terlanjur sold _tanda_titik_ - bobow luwy _emoticon_ yey 
33,bobow pants luwy dark grey silver machiato size m dm iya 
34,semoga hit run kia instan teal _emoticon_ 
35,luwy silver size l kia rose ketinggalan mampir _emoticon_ _emoticon_ _emoticon_ _emoticon_ _emoticon_ 
36,iya check out step 1 syeedihh apcs terkurangi otomatis syediih 
37,pnya bobow pants dark grey lips ukuran l sya maauu 
38,menangis ih 
39,
40,kia instan cek ig kakak perempuan warna 
41,avail kia instan rouge campina & olive _tanda_titik_ minat dm yaa _emoticon_ 
42,ready to booked rose rouge lippmatte frozen teal pengiriman jakartatimur cek langsung ig terima kasih _emoticon_ 
43,kebagian kia olive dm yes _emoticon_ 
44,bantu _mentionteman_ via web mbak _url_ mbak member silahkan daftar mbak _tanda_titik_ sih suka hit run beruntung _emoticon_ happy shopping 
45,novi_rachmawati _tanda_titik_ kia olive _emoticon_ _emoticon_ 
46,kaya refresh mbak takutnya terlanjur sold out _tanda_titik_ kuncinya refresh - refresh traffic web padet banget mbak rullynurlia 
47,kia rose campina dm _tanda_titik_ iya _tanda_titik_ 
48,bantu _mentionteman_ silahkan daftar member web mbak _url_ 
49,bantu _mentionteman_ pengiriman jakarta mbak _tanda_titik_ ongkirnya otomatis hitung check out web mbak _tanda_titik_ 
50,pesan'y _mentionpemilik_ 
51,kia rose biyan frozen cek ig yaa _emoticon_ 
52, _mentionteman_ order via website vanillahijab _tanda_titik_ com / registrasi cek _mentionteman_ iya dear _tanda_titik_ 
53, _mentionteman_ _mentionteman_ order via website jam open order registrasi vanillahijab _tanda_titik_ com / cek _mentionteman_ _mentionteman_ pengiriman jakarta via si cepat _tanda_titik_ 
54,buka sold out kaya tiket kereta api _tanda_titik_ _emoticon_ 
55,ok _tanda_titik_ minat langsung order _tanda_titik_ terima kasih iya _emoticon_ 
56,alhamdulillah order _mentionpemilik_ gampang banget semoga sukses :) 
57,jilbab kia nya sold out ready stok kakak 
58,kehabisan mengeluh 
59,kode unik muncul total pembayaran yah _tanda_tanya_ menambah total biaya _mentionpemilik_ _mentionteman_ 
60,restock 
61,restock _tanda_titik_ restock _tanda_titik_ restock _tanda_titik_ restock _tanda_titik_ amiin _tanda_titik_ 
62, _mentionteman_ iya dear memudahkan pengecekannya _tanda_titik_ 
63,kia rose gading campina biyan rouge ayo cek ig _emoticon_ 
64,kia instan jeans teal lipmate frozen rose only jbrb _emoticon_ 
