id,content,main post,label,,
vanillahijab,"BATAS TRANSFER & KONFIRMASI PEMBAYARAN sampai besok pagi yaahTiap orang beda tergantung jam ordernya, pokoknya setelah berhasil order CEK EMAIL masing masing yaajangan lupa setelah berhasil order konfirmasi via website#vanillaitugampangBuat yg baru gabung di Vanilla, silahkan jd member dulu yuk di www.vanillahijab.comCaranya klik tombol ""DAFTAR"" di pojok kanan atas website!",yes,x,,x
nha_rosidah21,Barakallah.. 👍👍👍,no,baca,,hitung
nha_rosidah21,Yukk daftar jadi member di www. Vanillahijab. Com,no,abaikan,,abaikan
asmara2604,Alhamdulillah...makasih😙😙😙😙,no,abaikan,,abaikan
tandriani45,Cranya gmna jdi mmber,no,jawab,,jawab
ita_aflaha,Ini kerdungnya bisa di bikin nutup dada gak yah?apa mang pendek gini modelnya?,no,jawab,,jawab
ita_aflaha,Bantu jawab dong,no,baca,,baca
shofuraqnt,Ini menutup dada dan punggung gak ya?,no,jawab,,jawab
amaliaafasyaa,Kakak.. @vanillahijab bakal ada haute lg gak??,no,jawab,,jawab
nha_rosidah21,Barakallah,no,baca,,hitung
cintabaju,Barokallah,no,baca,,hitung
lusi_septianii,Belom ad harga nya @vanillahijab,no,baca,,baca
avalovable,@tandriani45 cek @carabelanjavanilla ya mba,no,baca,,baca
kumalahijabstore,"@shofuraqnt insyAllah bs kaa, bs nutupin dada nyaa",no,baca,,baca
anditaratih,Kok gak bsa d order,no,jawab,,jawab
wulan_febryana_putri,INI pengiriman Dari daerah mana yah Mba? @vanillahijab,no,jawab,,jawab
anbi.stuff,Ready to booked bowbow pants warna Machiato size L,no,baca,,baca
icha_harycha,Kok web nynprnuh terus yaa @vanillahijab,no,jawab,,jawab
icha_harycha,Web nya penuh terus..,no,baca,,baca
disdis30,yahh,no,baca,,hitung
titik.sumaryati,Proses checkoit gagal terus ulang lagi ulang lagi dari step 1 😂,no,baca,,baca
ellaherlina,"Done Kia Instan rouge, biyan and jeans. Bobow pants darkgrey 😁",no,baca,,baca
myfabuloushijab,Masih ada kia instan rose & rouge 😊 berminat dm yaa 😊,no,abaikan,,abaikan
nadhira_store2,Alhamdulillah dpt kia instan banyak warna cantik😄,no,baca,,hitung
na.setya,Cara pesan bagaimana?,no,jawab,,jawab
cuziiee,Yey kebagian rouge + biyan 😋,no,baca,,baca
rullynurlia,"Tulisan d web pas checkout ""sabar ya sis"" sampe 40 menit masih blm berhasil 😂",no,baca,,baca
auliaraj,Ready Bowbow pants lips L dan Kia Instan olive,no,abaikan,,abaikan
mi.nang_store,Kia instan banyak warna cek ig kita sis,no,abaikan,,abaikan
hijabcantikos,ready soon lipmatte😊,no,abaikan,,abaikan
hijabcantikos,ready soon lipmatte😊,no,abaikan,,abaikan
shbrn___,"AVAIL kia rose, lipmatte, olive, frozen, jeans. yuk cek ig. bisa free ongkir via shopee",no,abaikan,,abaikan
radendndshop,"KIA Instan Jeans 2pc, Rouge, Rose,  LipMatte only 80rb bisa via shopee.  Minat DM ya.",no,abaikan,,abaikan
harrabee,"Pdhl pgn bobow pants dark grey,tp krna web penuh trz darkgrey nya keburu sold . Tp gpp,yg penting dpt bobow loewy😄 yyyeeeyyyy",no,baca,,baca
ririzamalia,"bobow pants loewy, dark grey, silver, machiato size m bisa dm ya",no,abaikan,,abaikan
viaramitha,Semoga ada yg hit n run kia instan teal👻,no,baca,,baca
hijabchoi,"Loewy n silver size L, kia rose, yang ketinggalan boleh mampir 💃💃💃💃💃",no,abaikan,,abaikan
marvelmomsbabyshop,iya aku uda check out balik lagi ke step 1 syeedihh akhirnya ada 4pcs terkurangi otomatis syediih,no,baca,,hitung
shelvi_shelvia,Yg pnya bobow pants dark grey dan lips ukuran L sya maauu,no,abaikan,,abaikan
rahmalinahs,Ingin nangis ih,no,baca,,hitung
rahmalinahs,Ga dapet,no,baca,,baca
mi.nang_store,Kia instan cek ig kita sis banyak warna,no,abaikan,,abaikan
indyshoplabel,"Avail Kia instan rouge, campina & olive. Yg minat dm yaa 😉",no,abaikan,,abaikan
asyfahshop,"Ready to booked rose,rouge,lippmatte,frozen,teal, pengiriman jakartatimur,bisa cek langsung IG,thanks😊",no,abaikan,,abaikan
novi_rachmawati,Yang ga kebagian Kia olive bisa DM yes 😊,no,abaikan,,abaikan
noviekurnayanti,"Bantu jawab @na.setya
 order via web mba di www.vanillahijab.com kalau mba belum jadi member 
silahkan daftar dulu mba. Biasanya sih suka ada hit n run, siapa tau 
beruntung 😉 happy shopping",no,baca,,baca
nurainirhesi,novi_rachmawati .mau kia olive 😂😂,no,abaikan,,abaikan
noviekurnayanti,"Kalau
 kaya gitu di refresh lagi mba takutnya keburu sold out. Kuncinya emang 
harus di refresh2 terus soalnya traffic di web padet banget mba @rullynurlia",no,baca,,baca
sepatuanakbranded_keren,Yg punya kia rose n campina blh dm. Yg punya keduanya ya...,no,abaikan,,abaikan
noviekurnayanti,Bantu jawab @tandriani45 silahkan daftar member di web mba di www.vanillahijab.com,no,baca,,baca
noviekurnayanti,Bantu jawab @wulan_febryana_putri pengiriman dari jakarta mba. Nanti untuk ongkirnya sudah otomatis di hitung pada saat check out di web mba.,no,baca,,baca
maya4323,Cara pesan'y gmn @vanillahijab,no,jawab,,jawab
bizii_clothing,"KIA rose, biyan, frozen cek ig yaa 😊",no,abaikan,,abaikan
dindavanillahijab,@maya4323 order hanya via website vanillahijab.com/ registrasi dan cek @carabelanjavanilla ya dear.,no,baca,,baca
dindavanillahijab,"@tandriani45 @anditaratih order hanya via website saat jam open order, registrasi dulu di vanillahijab.com/ cek @carabelanjavanilla , @wulan_febryana_putri Pengiriman dari Jakarta via Si Cepat.",no,baca,,baca
yayukurniaekawati,Baru buka udah sold out kaya tiket kereta api .😪,no,baca,,baca
maya4323,OK..nanti kalau minat lgsg order..makasih ya😊,no,abaikan,,abaikan
wiwikayranajmi14,"Alhamdulillah,  order @vanillahijab itu gampang bgt , semoga makin sukses :)",no,baca,,hitung
dsyaira,"Jilbab Kia nya sudah sold out semua, ready stok kapan ka",no,jawab,,jawab
lalanovia,Aku kehabisan huft,no,baca,,hitung
wulan_febryana_putri,Kalau kode unik yg muncul di total pembayaran itu APA yah? Jadi menambah total biaya @vanillahijab @dindavanillahijab,no,jawab,,jawab
astri_notastronot,restock dong,no,baca,,baca
aiu_devitasari,Restock....restock...restock...restock....amiin..,no,baca,,baca
dindavanillahijab,"@wulan_febryana_putri iya dear, untuk memudahkan pengecekannya juga.",no,baca,,baca
mumuqueenn,"Kia rose, gading,campina, biyan, rouge yuk cek ig 😚",no,abaikan,,abaikan
r_herdiyani,"Kia Instan Jeans, Teal, Lipmate, Frozen, Rose only 78rb 😘",no,abaikan,,abaikan
eightninehijab,"Kia instan lipmatte, rose, cacaote, campina, jeans, n biyan msh ada di kita, yuk cek ig.. Pengiriman dr tangerang..",no,abaikan,,abaikan
elshary91,Ada hit Run dong... @vanillahijab,no,baca,,baca
elshary91,@eightninehijab brpa mbk,no,abaikan,,abaikan
marvelmomsbabyshop,"sisa rouge dan lipmatte kirim dari sby, DM yg minat",no,abaikan,,abaikan
