aamiin	amin
abiz	habis
adain	adakan
admind	admin
ah	mengeluh
aih	mengeluh
aja	saja
ajah	saja
aje	saja
ajh	saja
alloh	allah
alus	halus
ampyun	ampun
ane	saya
anjay	anjing
apak	apa
apek	bau
ayuk	ayo
bagusan	lebih bagus
balesan	balasan
balikin	kembalikan
barapaan	berapa
barengan	bersamaan
barokallah	barakallah
bawahnya	bagian bawah
bbrp	beberapa
bedo	beda
belakangnya	bagian belakang
beliin	belikan
beneran	sebenarnya
benerin	benarkan
berapaan	berapa
berenti	berhenti
beres	selesai
bersihin	bersihkan
beuh	mengeluh
bgini	begini
bgitu	begitu
bgs	bagus
bgt	banget
bgtu	begitu
bgus bagus
biasah	biasa
bikin	buat
bingit	banget
bingits	banget
bingitz	banget
bisah	bisa
bju	baju
bkal	bakal
blang	bilang
blanja	belanja
bleh	boleh
bli	beli
blnj	belanja
blnja	belanja
blom	belum
blasan	balasan
blsn	balasan
blus	blouse
bnget	banget
bngt	banget
bngts	banget
bocorin	bocorkan
bodone	bodohnya
bosen	bosan
brapa	berapa
brarti	berarti
brati	berarti
brenti	berhenti
bres	beres
brpa	berapa
brpaan	berapa
brpan	berapa
brpe	berapa
brti	berarti
budeg	tidak bisa mendengar
buwat	buat
bwah	bawah
bye	sampai jumpa
cakep	bagus
cakeup	bagus
cantiq	cantik
cantique	cantik
cantumin	cantumkan
capek	lelah
cba	coba
cepetan	lebih cepat
chek	periksa
ckup	cukup
clana	celana
cma	cuma
cntik	cantik
cpet	cepat
cpt	cepat
cra	cara
crnya	caranya
cs	customer service
cup	ayo
cus	ayo
cwe	cewek
cwo	cowok
dalamnya	bagian dalam
dalem	dalam
daleman	pakaian dalam
dalemnya	bagian dalam
dapatinnya	cara mendapatkan
dapet	dapat
dapetin	mendapatka
dbnerin	dibenarkan
depannya	bagia depan
detil	datail
dhbungi	dihubungi
diajakin	diajak
diganti	diubah
dijelasin	dijelaskan
dikit	sedikit
dilipet	dilipat
dimari	di sini
dimasukin	dimasukkan
diomongin	dibicarakan
dipake	dipakai
dipanjangin	diperpanjang
dirmh	di rumah
dirubah	diubah
disimpen	disimpan
disuruh	diminta
ditambahin	ditambahkan
ditaro	diletakkan
dki	daerah khusus ibukota
dlam	dalam
dm 	direct message
dobel	ganda
dpat	dapat
dpet	dapat
dritdi	daritadi
duluan	lebih dahulu
dund	dong
dung	dong
enakan	lebih enak
enga	tidak
ga	tidak
gaa	tidak
gabutuh	tidak butuh
gaes	teman-teman
gafaham	tidak paham
gakada	tidak ada
gakbisa	tidak bisa
gaks	tidak
gakuat	tidak kuat
gapunya	tidak punya
gausah	tidak usah
gede	besar
gedhe	besar
gelut	bertengka
gemesh	gemes
gemesin	menggemaskan
gercep	gerak cepat
gimna	bagaimana
gini	seperti ini
gituan	seperti itu
gmbr	gambar
gni	seperti ini
gtlo	seperti itu
gtu	seperti itu
habisisn	habiskan
haha	tertawa
hahaha	tertawa
hahahaha	tertawa
hadeh	aduh
hadeuh	aduh
halo	hallo
hape	handphone
haute	hari ulang tahun
hayo	ayo
hayu	ayo
hayuk	ayo
hbgi	hubungi
hehe	tertawa
hehehe	tertawa
hiks	sedih
hp	handphone
hrg	harga
hrga	harga
hub	hubungi
huft	mengeluh
huhu	sedih
huhuhu	sedih
ieuk	ayo
ih	jijik
ijin	izin
ijo	hijau
ikutan	ikut
infoin	infokan
inih	ini
inshaallah	insyaallah
insyallah	insyaallah
ist	istimewa
iyah	iya
iyak	iya
jabar	jawa barat
jadiken	jadikan
jadikeun	jadikan
jakbar	jakarta barat
jaksel	jakarta selatan
jaktim	jakarta timur
jakut	jakarta utara
jaman	zaman
japri	jaringan pribadi
jastip	jasa titip
jateng	jawa tengah
jatim	jawa timur
jkrt	jakarta
jkt	jakarta
jngn	jangan
jugak	juga
jum'at	jumat
kabari	beri kabar
kasi	beri
kasian	kasihan
kasih	beri
katain	ejek
kayak	seperti
kayaknya	sepertinya
kbgian	kebagian
kbrin	beri kabar
kcuali	kecuali
keabisan	kehabisan
keambil	terambil
keapus	terhapus
kebakar	terbakar
kebalik	terbalik
kabnyakan	terlalu banyak
kebeli	terbeli
